s1,s2,s3,s4,s5,s6,omega,tau,ext.I,ext.D,r0*t,r1*t,r2*t
1.045,1.815,0.747,0.993,1.864,1.581,0.079,0.076,0.599,0.735,0.004,0.012,0.011
0.740,1.154,1.042,1.430,1.607,2.016,0.213,0.072,0.730,0.403,0.010,0.007,0.004
0.469,2.134,1.575,0.420,2.257,0.819,0.077,0.079,0.256,0.555,0.009,0.006,0.004
1.267,1.049,1.238,1.892,0.740,1.619,0.184,0.074,0.692,0.212,0.007,0.006,0.005
0.883,2.800,1.592,1.022,1.673,0.657,0.401,0.066,0.755,0.613,0.005,0.009,0.008
0.894,0.591,0.914,2.224,1.949,1.475,0.058,0.080,0.689,0.701,0.005,0.007,0.006
0.519,1.080,1.889,1.532,1.755,1.094,0.315,0.076,0.666,0.238,0.006,0.010,0.006
0.891,1.295,0.740,1.628,2.558,1.556,0.226,0.062,0.699,0.557,0.005,0.007,0.005
1.261,1.271,1.784,0.951,1.600,0.888,0.250,0.070,0.514,0.721,0.008,0.010,0.004
1.474,1.524,1.827,0.400,1.121,0.959,0.043,0.080,0.717,0.759,0.006,0.008,0.009
1.269,2.284,0.834,1.606,0.770,1.042,0.253,0.078,0.694,0.723,0.005,0.006,0.008
1.248,1.661,1.820,0.600,0.975,1.832,0.109,0.052,0.695,0.487,0.007,0.004,0.007
1.127,1.310,1.329,0.945,1.809,1.624,0.133,0.066,0.648,0.499,0.006,0.007,0.008
1.146,1.775,2.471,0.948,2.767,1.778,0.350,0.061,0.163,0.476,0.008,0.009,0.008
1.391,1.423,1.476,1.896,0.484,1.483,0.415,0.082,0.743,0.470,0.011,0.012,0.008
1.107,1.300,0.633,1.784,2.522,2.501,0.231,0.058,0.577,0.580,0.007,0.005,0.006
0.692,2.226,1.562,0.564,2.300,0.444,0.483,0.058,0.722,0.533,0.004,0.004,0.008
2.120,1.845,0.840,2.167,2.813,0.756,0.267,0.053,0.406,0.554,0.006,0.004,0.005
