s1,s2,s3,s4,s5,s6,omega,tau,ext.I,ext.D,r0*t,r1*t,r2*t
1.046,1.814,0.747,0.987,1.868,1.581,0.079,0.076,0.597,0.735,0.004,0.012,0.011
0.742,1.148,1.046,1.425,1.606,2.023,0.213,0.072,0.730,0.399,0.010,0.007,0.004
0.468,2.138,1.578,0.421,2.259,0.810,0.077,0.079,0.248,0.551,0.009,0.006,0.004
1.265,1.052,1.231,1.892,0.740,1.623,0.184,0.075,0.687,0.200,0.007,0.007,0.005
0.880,2.798,1.585,1.024,1.674,0.660,0.401,0.066,0.755,0.614,0.005,0.009,0.008
0.889,0.590,0.911,2.226,1.953,1.476,0.058,0.080,0.685,0.697,0.005,0.007,0.006
0.520,1.075,1.891,1.523,1.754,1.096,0.315,0.076,0.663,0.223,0.006,0.009,0.006
0.888,1.295,0.739,1.630,2.567,1.553,0.227,0.062,0.697,0.557,0.005,0.007,0.005
1.260,1.271,1.781,0.961,1.600,0.892,0.250,0.070,0.509,0.720,0.008,0.010,0.004
1.475,1.526,1.827,0.399,1.124,0.951,0.043,0.080,0.717,0.758,0.006,0.009,0.008
1.269,2.287,0.834,1.607,0.770,1.038,0.254,0.077,0.690,0.721,0.005,0.006,0.008
1.253,1.655,1.813,0.600,0.972,1.842,0.109,0.052,0.692,0.479,0.007,0.004,0.007
1.122,1.308,1.331,0.942,1.810,1.632,0.134,0.066,0.648,0.495,0.006,0.007,0.008
1.151,1.772,2.470,0.945,2.775,1.779,0.353,0.060,0.163,0.476,0.009,0.009,0.008
1.396,1.419,1.479,1.892,0.486,1.481,0.415,0.082,0.743,0.470,0.011,0.012,0.008
1.109,1.301,0.631,1.773,2.524,2.505,0.232,0.058,0.576,0.581,0.007,0.005,0.006
0.690,2.225,1.564,0.562,2.299,0.443,0.482,0.058,0.720,0.523,0.005,0.003,0.008
2.118,1.847,0.840,2.168,2.818,0.753,0.267,0.053,0.402,0.552,0.006,0.004,0.005
0.856,1.026,2.398,0.959,2.069,1.134,0.366,0.078,0.523,0.592,0.011,0.011,0.009
3.763,0.678,1.284,1.114,0.844,1.792,0.284,0.075,0.317,0.764,0.011,0.004,0.011
1.517,0.838,2.242,0.870,0.698,1.249,0.068,0.115,0.700,0.654,0.011,0.011,0.017
1.817,1.911,1.849,1.133,0.654,0.950,0.235,0.067,0.658,0.383,0.010,0.007,0.004
1.283,0.982,2.190,1.276,2.586,1.119,0.029,0.054,0.474,0.738,0.004,0.008,0.004
1.213,2.226,1.326,0.759,0.832,2.552,0.445,0.059,0.632,0.487,0.006,0.006,0.006
1.612,1.700,1.297,0.731,1.294,1.663,0.026,0.100,0.727,0.717,0.009,0.008,0.007
0.373,1.285,1.134,1.916,1.924,1.287,0.223,0.082,0.756,0.316,0.006,0.009,0.009
1.945,1.100,1.265,1.181,2.805,1.083,0.195,0.040,0.737,0.298,0.004,0.005,0.006
0.739,1.513,2.117,1.746,0.909,1.532,0.373,0.044,0.656,0.677,0.003,0.005,0.004
0.448,1.403,0.581,0.978,3.712,1.288,0.336,0.066,0.642,0.653,0.007,0.009,0.006
1.039,0.897,0.890,0.714,1.328,3.095,0.082,0.077,0.332,0.575,0.010,0.008,0.007
1.502,2.886,2.626,0.789,0.992,2.984,0.266,0.046,0.714,0.645,0.005,0.007,0.005
3.631,1.011,3.712,0.742,0.572,2.135,0.484,0.061,0.638,0.729,0.005,0.006,0.008
1.125,1.505,1.421,2.359,1.204,0.481,0.403,0.058,0.637,0.665,0.007,0.006,0.008
1.549,0.502,1.736,1.031,0.892,2.424,0.096,0.082,0.459,0.684,0.009,0.006,0.005
3.277,0.729,0.299,1.135,1.801,0.738,0.084,0.071,0.646,0.289,0.010,0.005,0.005
1.344,3.161,1.257,2.890,0.502,0.873,0.426,0.077,0.706,0.579,0.008,0.005,0.009
0.749,2.330,1.470,0.766,3.715,1.113,0.040,0.063,0.209,0.688,0.009,0.009,0.009
1.699,1.834,0.968,1.093,1.581,1.721,0.113,0.060,0.680,0.494,0.005,0.005,0.008
1.645,1.954,2.936,1.322,0.645,1.927,0.304,0.073,0.726,0.269,0.007,0.005,0.004
1.925,1.173,0.998,1.949,1.373,0.658,0.432,0.057,0.584,0.749,0.003,0.007,0.008
