s1,s2,s3,s4,s5,s6,omega,tau,ext.I,ext.D,r0.t,r1.t,r2.t
1.016,1.902,0.716,0.969,1.811,1.622,0.076,0.077,0.594,0.734,0.005,0.012,0.010
0.731,1.216,1.024,1.457,1.564,1.969,0.207,0.072,0.722,0.385,0.010,0.007,0.004
0.435,2.188,1.564,0.381,2.275,0.834,0.074,0.080,0.266,0.563,0.009,0.006,0.004
1.189,1.106,1.205,1.912,0.738,1.652,0.177,0.078,0.689,0.178,0.008,0.006,0.005
0.844,2.863,1.576,1.004,1.693,0.675,0.398,0.066,0.746,0.616,0.005,0.009,0.008
0.890,0.599,0.948,2.153,1.986,1.468,0.055,0.080,0.681,0.688,0.005,0.007,0.006
0.487,1.172,1.886,1.510,1.714,1.105,0.310,0.078,0.642,0.213,0.006,0.010,0.006
0.880,1.311,0.749,1.554,2.591,1.596,0.220,0.062,0.685,0.543,0.005,0.007,0.005
1.241,1.327,1.777,0.854,1.563,0.904,0.239,0.072,0.498,0.712,0.008,0.010,0.004
1.376,1.678,1.823,0.383,1.125,0.892,0.041,0.082,0.696,0.749,0.006,0.008,0.008
1.272,2.370,0.826,1.614,0.761,1.019,0.249,0.078,0.684,0.703,0.005,0.007,0.009
1.237,1.721,1.823,0.572,0.969,1.812,0.101,0.053,0.692,0.462,0.007,0.004,0.007
1.125,1.397,1.319,0.958,1.717,1.589,0.129,0.068,0.649,0.494,0.006,0.007,0.008
1.176,1.703,2.507,0.958,2.810,1.758,0.347,0.061,0.161,0.462,0.009,0.009,0.008
1.391,1.419,1.479,1.833,0.490,1.481,0.407,0.083,0.736,0.448,0.011,0.012,0.008
1.086,1.413,0.644,1.772,2.417,2.531,0.228,0.058,0.578,0.574,0.008,0.005,0.007
0.679,2.300,1.552,0.529,2.264,0.437,0.473,0.058,0.726,0.525,0.005,0.003,0.008
2.011,1.947,0.836,2.179,2.720,0.781,0.251,0.056,0.358,0.552,0.006,0.004,0.005
0.875,1.089,2.325,0.955,2.009,1.108,0.357,0.079,0.522,0.587,0.011,0.011,0.009
3.602,0.660,1.221,1.113,0.902,1.842,0.283,0.075,0.307,0.750,0.010,0.005,0.010
1.484,0.906,2.225,0.874,0.689,1.238,0.067,0.117,0.686,0.648,0.011,0.011,0.017
1.764,2.008,1.855,1.105,0.637,0.978,0.222,0.069,0.656,0.358,0.009,0.006,0.005
1.209,0.971,2.199,1.267,2.631,1.143,0.030,0.054,0.474,0.732,0.004,0.008,0.004
1.219,2.229,1.353,0.757,0.833,2.596,0.437,0.059,0.625,0.476,0.005,0.006,0.005
